Name,Age,Country,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Status
Scott Hurst,25,us US,L,R,5' 10,175,Mar 25 1996,1st,7,0,7,6,0,0,0,0,0,0,0,6,0,6,0,1,2,-0.1,
Kwang Hyun Kim,32,kr KR,L,L,6' 2,195,Jul 22 1988,2,27,21,25,27,27,0,0,0,0,0,0,0,0,0,0,0,0,1.2,
Andrew Knizner,26,us US,R,R,6' 1,225,Feb 3 1995,3,63,43,63,58,0,57,1,0,0,0,0,0,0,0,0,10,2,-0.2,
Wade LeBlanc,36,us US,L,L,6' 2,195,Aug 7 1984,13,12,8,11,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0.4,
Jon Lester,37,us US,L,L,6' 4,249,Jan 7 1984,16,12,12,11,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0.1,
Carlos Martinez,29,do DO,R,R,6' 0,200,Sep 21 1991,9,16,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,-1.4,
T.J. McFarland,32,us US,L,L,6' 3,200,Jun 8 1989,9,38,0,36,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0.8,
Miles Mikolas,32,us US,R,R,6' 4,230,Aug 23 1988,6,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,
Andrew Miller,36,us US,L,L,6' 7,200,May 21 1985,16,40,0,37,40,40,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,
Justin Miller,34,us US,R,R,6' 3,225,Jun 13 1987,6,18,0,16,18,18,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,
Yadier Molina,38,pr PR,R,R,5' 11,225,Jul 13 1982,18,121,118,121,118,0,118,1,0,0,0,0,0,0,0,0,3,0,1.8,All-Star
Max Moroff,28,us US,B,R,5' 10,190,May 13 1993,5,6,3,6,5,0,0,0,4,1,0,0,0,0,0,0,1,0,-0.3,
John Nogowski,28,us US,R,L,6' 0,245,Jan 5 1993,2,19,0,19,3,0,0,3,0,0,0,0,0,0,0,0,19,0,-0.3,
Lars Nootbaar,23,us US,L,R,6' 3,210,Sep 8 1997,1st,58,23,58,34,0,0,0,0,0,0,9,0,26,34,0,24,1,0.7,
Tyler O'Neill,26,ca CA,R,R,5' 11,200,Jun 22 1995,4,138,130,138,131,0,0,0,0,0,0,131,0,0,131,1,6,0,6.3,
Johan Oviedo,23,cu CU,R,R,6' 5,245,Mar 2 1998,2,14,13,13,14,14,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,
Daniel Ponce de Leon,29,us US,R,R,6' 3,200,Jan 16 1992,4,24,2,22,24,24,0,0,0,0,0,0,0,0,0,0,0,0,-0.7,
Roel Ramirez,26,us US,R,R,6' 0,235,May 26 1995,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,
Alex Reyes,26,us US,R,R,6' 4,220,Aug 29 1994,5,70,0,67,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0.6,All-Star
Angel Rondon,23,do DO,R,R,6' 1,205,Dec 1 1997,1st,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,
Jose Rondon,27,ve VE,R,R,6' 1,215,Mar 3 1994,4,63,9,63,17,0,0,1,2,7,0,2,0,7,9,2,44,2,0.1,
Ali Sanchez,24,ve VE,R,R,6' 1,200,Jan 20 1997,2,2,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0.1,
Edmundo Sosa,25,pa PA,R,R,6' 0,210,Mar 6 1996,3,113,75,113,102,0,0,0,25,9,71,0,1,0,1,0,14,1,3.2,
Lane Thomas,25,us US,R,R,6' 0,185,Aug 23 1995,3,32,10,32,20,0,0,0,1,0,0,6,3,10,19,0,14,2,-0.3,
Brandon Waddell,27,us US,L,L,6' 3,180,Jun 3 1994,2,4,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,
Adam Wainwright,39,us US,R,R,6' 7,230,Aug 30 1981,16,34,32,33,32,32,0,0,0,0,0,0,0,0,0,0,2,0,3.7,
Tyler Webb,30,us US,L,L,6' 5,240,Jul 20 1990,5,22,0,21,22,22,0,0,0,0,0,0,0,0,0,0,0,0,-1.4,
Kodi Whitley,26,us US,R,R,6' 3,220,Feb 21 1995,2,25,0,24,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0.4,
Justin Williams,25,us US,L,R,6' 1,235,Aug 20 1995,3,51,33,51,39,0,0,0,0,0,0,19,0,24,39,0,13,0,-0.6,
Jake Woodford,24,us US,R,R,6' 4,215,Oct 28 1996,2,26,8,24,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0.2,
